DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2024/06/20 00:06:22,GOES-16,Bolivia,El Beni,Yacuma,,7.0,0.0,1.0,-13.1615,-65.3664,47.1
2024/06/20 00:06:28,GOES-16,Bolivia,El Beni,Vaca Díez,,0.0,0.0,1.0,-14.1005,-64.3052,69.7
2024/06/20 00:06:28,GOES-16,Bolivia,El Beni,Vaca Díez,,0.0,0.0,0.88,-14.1194,-64.3234,117.3
2024/06/20 00:06:28,GOES-16,Bolivia,El Beni,Vaca Díez,,0.0,0.0,0.9,-14.1196,-64.3042,200.6
2024/06/20 00:06:28,GOES-16,Bolivia,El Beni,Vaca Díez,,0.0,0.0,0.63,-14.1197,-64.2849,50.8
2024/06/20 00:06:28,GOES-16,Bolivia,El Beni,Vaca Díez,,0.0,0.0,0.91,-14.1385,-64.3223,57.0
2024/06/20 08:26:20,GOES-16,Brasil,MATO GROSSO,CANARANA,Amazônia,15.0,0.0,0.67,-12.8662,-52.4983,76.7
2024/06/20 08:26:20,GOES-16,Brasil,MATO GROSSO,CANARANA,Amazônia,15.0,0.0,0.68,-12.885,-52.5172,247.2
2024/06/20 05:38:00,NOAA-21,Bolivia,El Beni,Mamoré,,26.0,0.0,1.0,-13.02815,-64.38451,0.7
2024/06/20 05:31:00,NOAA-21,Venezuela,Monagas,Piar,,0.0,13.31,0.0,9.87167,-63.31157,1.3
2024/06/20 05:31:00,NOAA-21,Venezuela,Monagas,Piar,,0.0,14.13,0.0,9.83445,-63.36039,1.5
2024/06/20 05:31:00,NOAA-21,Venezuela,Monagas,Piar,,0.0,14.22,0.0,9.83303,-63.35935,1.8
2024/06/20 05:48:00,NOAA-21,Argentina,Santa Cruz,Lago Argentino,,10.0,0.0,0.28,-50.55324,-71.32315,1.7
2024/06/20 05:31:00,NOAA-21,Venezuela,Lara,Iribarren,,0.0,0.0,-999.0,10.1815,-69.29536,0.9
2024/06/20 05:31:00,NOAA-21,Venezuela,Miranda,Paz Castillo,,1.0,0.0,1.0,10.28934,-66.68063,2.3
2024/06/20 05:31:00,NOAA-21,Venezuela,Miranda,Paz Castillo,,1.0,0.0,1.0,10.29192,-66.68207,2.1
2024/06/20 05:31:00,NOAA-21,Venezuela,Anzoátegui,Aragua,,0.0,5.46,0.07,9.26899,-64.71766,2.8
2024/06/20 05:31:00,NOAA-21,Venezuela,Anzoátegui,Aragua,,0.0,5.4,0.07,9.26743,-64.71584,1.6
2024/06/20 05:31:00,NOAA-21,Venezuela,Monagas,Libertador,,2.0,1.67,0.47,8.98155,-62.53326,0.4
2024/06/20 05:38:00,NOAA-21,Bolivia,El Beni,Vaca Díez,,0.0,0.0,1.0,-14.11438,-64.30219,3.0
2024/06/20 05:38:00,NOAA-21,Bolivia,El Beni,Mamoré,,16.0,0.1,0.71,-12.00436,-65.02308,3.1
2024/06/20 05:36:00,NOAA-21,Brasil,MATO GROSSO,ARIPUANÃ,Amazônia,16.0,0.0,0.78,-10.05433,-59.27617,2.0
2024/06/20 05:36:00,NOAA-21,Brasil,MATO GROSSO,ARIPUANÃ,Amazônia,16.0,0.0,0.51,-10.05075,-59.27191,4.3
2024/06/20 05:36:00,NOAA-21,Brasil,MATO GROSSO,ARIPUANÃ,Amazônia,16.0,0.0,0.61,-10.05025,-59.27557,4.3
2024/06/20 05:42:00,NOAA-21,Argentina,Santa Fe,Iriondo,,7.0,0.0,0.84,-32.84661,-61.37552,1.1
2024/06/20 05:42:00,NOAA-21,Chile,Atacama,Copiapó,,35.0,0.0,-999.0,-27.35947,-70.22128,0.9
2024/06/20 05:40:00,NOAA-21,Argentina,Santiago del Estero,Alberdi,,16.0,0.0,0.88,-26.33139,-62.47571,1.3
